Date,Split
2003-04-15,5095.000000/3518.000000
2004-12-13,25.000000/28.000000
2005-06-27,11.000000/15.000000
2006-06-12,7.000000/8.000000
2007-06-04,47.000000/56.000000
2012-10-09,14.000000/15.000000
2014-07-01,12.000000/13.000000
2016-05-09,5.000000/6.000000
2017-05-08,45.000000/47.000000
2019-01-14,19.000000/20.000000
