Date,Split
2015-01-07,416.000000/179.000000
2019-02-18,357.000000/319.000000
2020-12-28,775.000000/463.000000
2023-10-09,167.000000/96.000000
2024-01-29,320.000000/203.000000
2024-09-16,123.000000/91.000000
