Date,Split
2000-06-16,4806.000000/4547.000000
2002-02-04,1427.000000/479.000000
2004-05-10,707.000000/500.000000
2004-08-17,1740.000000/1681.000000
2005-01-01,1.000000/1000.000000
2007-10-10,3486.000000/1555.000000
2009-06-15,1173.000000/1073.000000
2010-06-14,26.000000/25.000000
2011-06-20,25.000000/22.000000
2012-07-10,613.000000/553.000000
2013-07-04,863.000000/824.000000
2014-07-01,1700.000000/1571.000000
2015-07-03,19.000000/17.000000
2016-07-01,41.000000/38.000000
2017-07-24,45.000000/41.000000
