Date,Split
2010-06-30,1305.000000/779.000000
2011-07-01,93773.000000/72133.000000
2012-06-12,98163.000000/89239.000000
2013-06-27,621.000000/572.000000
2014-06-06,664.000000/621.000000
2015-06-08,355.000000/332.000000
2023-07-19,300.000000/71.000000
