Date,Split
2000-03-20,7.000000/4.000000
2001-03-30,11.000000/8.000000
2002-03-08,36.000000/25.000000
2002-12-30,839.000000/625.000000
2004-08-16,5.000000/4.000000
2005-01-01,1.000000/1000.000000
2005-05-18,639.000000/455.000000
2006-05-22,479156.000000/319437.000000
2007-05-21,13313.000000/9985.000000
2008-06-03,121.000000/100.000000
2009-06-16,6.000000/5.000000
2010-05-31,29177.000000/25009.000000
2011-05-24,3799.000000/3324.000000
2012-06-11,11.000000/8.000000
2013-06-20,13.000000/11.000000
2014-05-14,15.000000/13.000000
2015-06-05,7.000000/6.000000
2016-06-16,41.000000/35.000000
2017-05-31,48.000000/41.000000
2018-06-04,7.000000/6.000000
