Date,Split
2004-05-13,3117.000000/2026.000000
2005-01-01,1.000000/1000.000000
2005-05-30,3.000000/2.000000
2006-05-22,2913.000000/2497.000000
2008-06-12,972.000000/671.000000
2011-06-30,6.000000/5.000000
2013-06-27,7.000000/6.000000
2014-06-25,38.000000/35.000000
2015-06-26,41.000000/38.000000
2016-06-29,43.000000/41.000000
