Date,Split
2000-05-31,3.000000/2.000000
2001-05-31,3.000000/2.000000
2002-05-31,3.000000/2.000000
2003-04-30,3.000000/2.000000
2004-12-14,3308.000000/1227.000000
2005-01-01,1.000000/1000.000000
2005-12-28,59.000000/50.000000
2006-11-28,818.000000/739.000000
2008-03-03,11807.000000/9541.000000
2009-12-21,121.000000/100.000000
2024-12-05,39.000000/10.000000
