Date,Split
2001-08-01,77.000000/45.000000
2005-01-01,1.000000/1000.000000
2010-07-02,1221.000000/250.000000
2016-01-29,3.000000/2.000000
2018-07-04,11.000000/10.000000
2019-06-19,32.000000/25.000000
2020-11-20,6.000000/5.000000
