Date,Split
2000-05-24,1526.000000/1091.000000
2001-08-06,1249.000000/947.000000
2002-05-31,2846.000000/1979.000000
2003-05-15,317.000000/200.000000
2004-05-12,188394.000000/134567.000000
2005-01-01,1.000000/1000.000000
2005-06-01,5.000000/4.000000
2006-05-31,1012.000000/853.000000
2009-06-12,3904.000000/3311.000000
2019-10-31,1663.000000/621.000000
2021-04-30,12383.000000/3469.000000
2022-10-12,1397.000000/486.000000
2024-09-18,1619.000000/582.000000
